Symbol,Company,Industry
UBA,Urstadt Biddle Properties Inc,Equity Real Estate Investment Trusts (REITs)
UBP-G,Urstadt Biddle Properties Inc,Equity Real Estate Investment Trusts (REITs)
UBP-H,Urstadt Biddle Properties Inc,Equity Real Estate Investment Trusts (REITs)
UDR,"UDR, Inc.",Equity Real Estate Investment Trusts (REITs)
UE,Urban Edge Properties,Equity Real Estate Investment Trusts (REITs)
UHT,Universal Health Realty Income Trust,Equity Real Estate Investment Trusts (REITs)
UMH,"UMH Properties, Inc",Equity Real Estate Investment Trusts (REITs)
UMH-B,UMH Properties Inc,Equity Real Estate Investment Trusts (REITs)
UMH-D,UMH Properties Inc,Equity Real Estate Investment Trusts (REITs)
UNIT,Uniti Group Inc,Equity Real Estate Investment Trusts (REITs)
VER,Vereit Inc,Equity Real Estate Investment Trusts (REITs)
VER-F,Vereit Inc,Equity Real Estate Investment Trusts (REITs)
VLTC,Voltari Corp,Real Estate Management & Development
VNO,Vornado Realty Trust,Equity Real Estate Investment Trusts (REITs)
VNO-K,Vornado Realty Trust,Equity Real Estate Investment Trusts (REITs)
VNO-L,Vornado Realty Trust,Equity Real Estate Investment Trusts (REITs)
VNO-M,Vornado Realty Trust,Equity Real Estate Investment Trusts (REITs)
